PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,TaggedPitchType,PitchCall,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,Distance,Bearing,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,CatchPositionX,CatchPositionY,CatchPositionZ,BasePositionX,BasePositionY,BasePositionZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,2021/4/10,1,3,"Shunsuke, Izawa",Right,TOK,"Moeto, Suzuki",Left,WAS_EDA,1,Bottom,Fastball,FoulBall,132.6,-0.3,-1.5,2308.3,179.1,12:00,1.76,0.37,1.86,-46.37,58.73,-0.89,1.22,-0.06,119.52,-3.81,-1.52,0.46,,,,,,,-0.7225,31.4358,-0.33096,15.24,1.747719,0.932937,-36.412024,-0.298284,-0.123632,7.882542,-4.427561,131.02237,,13.04281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2021/4/10,1,4,"Shunsuke, Izawa",Right,TOK,"Moeto, Suzuki",Left,WAS_EDA,1,Bottom,Fastball,BallCalled,134.2,1.3,-0.2,2367.5,198.5,12:30,1.74,0.44,1.91,-49.30,52.45,16.41,1.60,0.55,120.92,-2.49,0.98,0.46,,,,,,,-8.5222,27.0966,-0.437564,15.24,1.76142,0.042977,-36.871175,0.676062,-1.496732,8.018249,-5.047775,133.1578,,13.25116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,2021/4/10,2,1,"Shunsuke, Izawa",Right,TOK,"Takuya, Nakagawa",Left,WAS_EDA,1,Bottom,Fastball,FoulBall,135.4,-0.2,-0.8,2348.7,197.0,12:30,1.73,0.48,1.97,-44.73,54.34,15.60,1.24,0.42,122.32,-3.59,0.35,0.45,,,,,,,-8.6976,29.47,-0.459674,15.24,1.720109,0.42492,-37.229551,-0.219203,-1.558354,8.131801,-4.526473,134.95185,,13.03944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2021/4/10,2,2,"Shunsuke, Izawa",Right,TOK,"Takuya, Nakagawa",Left,WAS_EDA,1,Bottom,Fastball,FoulBall,132.1,-1.6,-1.4,2283.2,180.8,12:00,1.75,0.44,1.97,-45.49,58.59,0.78,0.85,0.05,119.63,-5.09,-1.37,0.46,,,,,,,-1.5287,32.9144,-0.406413,15.24,1.71324,0.898114,-36.319867,-1.134386,-0.260725,7.726559,-4.192896,131.65979,,12.50831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,2021/4/10,2,3,"Shunsuke, Izawa",Right,TOK,"Takuya, Nakagawa",Left,WAS_EDA,1,Bottom,Slider,FoulBall,116.3,4.2,1.4,2309.9,88.3,9:00,1.70,0.51,1.73,-135.69,3.68,-41.14,1.53,0.50,104.87,-5.68,-1.50,0.53,,,,,,,21.7313,0.1123,-0.544388,15.24,1.796899,-0.591819,-31.867201,1.844163,2.849108,6.021602,-9.791933,113.78082,,11.43893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,2021/4/10,2,4,"Shunsuke, Izawa",Right,TOK,"Takuya, Nakagawa",Left,WAS_EDA,1,Bottom,Fastball,BallCalled,131.8,-0.8,-1.4,2296.2,194.7,12:30,1.74,0.43,1.96,-54.13,50.06,12.25,0.98,0.16,119.80,-4.88,-0.51,0.46,,,,,,,-7.5064,27.863,-0.399645,15.24,1.723886,0.823739,-36.269423,-0.653716,-1.28103,7.488206,-5.051614,131.593,,12.01228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,2021/4/10,3,1,"Shunsuke, Izawa",Right,TOK,"Takuya, Hiruma",Left,WAS_EDA,1,Bottom,Fastball,FoulBall,132.8,-0.7,-1.4,2257.5,184.8,12:15,1.73,0.45,2.01,-43.59,59.76,4.71,1.11,0.09,119.10,-4.05,-1.10,0.46,108.49348,59.847199,-132.347573,4436.179622,,,-3.6882,32.9931,-0.41908,15.24,1.712181,0.893994,-36.483802,-0.528053,-0.629132,8.369187,-4.17873,132.1248,23.364098,13.65646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2021/4/10,3,2,"Shunsuke, Izawa",Right,TOK,"Takuya, Hiruma",Left,WAS_EDA,1,Bottom,Fastball,StrikeCalled,129.7,-0.3,-2.8,2264.3,185.8,12:15,1.73,0.38,1.79,-70.30,39.82,3.68,0.94,-0.38,117.98,-5.53,-2.56,0.47,,,,,,,-3.9927,21.7187,-0.309316,15.24,1.721478,1.734598,-35.621855,-0.452505,-0.658356,7.12042,-6.225443,128.00496,,11.75574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,2021/4/10,3,3,"Shunsuke, Izawa",Right,TOK,"Takuya, Hiruma",Left,WAS_EDA,1,Bottom,Cutter,BallCalled,129.7,-0.3,-0.7,2312.0,167.6,11:30,1.75,0.43,1.87,-80.82,27.10,-5.24,0.86,0.19,119.12,-6.23,-1.04,0.47,99.44566,46.83694,-152.022435,4841.037185,50.380366,-157.640607,2.2467,15.2369,-0.413726,15.24,1.739711,0.437538,-35.702106,-0.464747,0.375166,6.642735,-7.262357,129.29589,14.530117,10.55768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2021/4/10,3,4,"Shunsuke, Izawa",Right,TOK,"Takuya, Hiruma",Left,WAS_EDA,1,Bottom,Cutter,FoulBall,129.1,1.0,-1.5,2296.0,170.1,11:45,1.73,0.39,1.85,-81.13,30.22,-4.58,1.19,-0.08,116.21,-5.04,-1.80,0.48,99.41778,28.864072,-177.115206,3492.257652,42.25203,-176.503152,1.1192,15.9183,-0.350506,15.24,1.746195,0.933378,-35.450705,0.326657,0.180772,7.726914,-7.235525,127.29226,7.180587,12.87591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
